venue,edition,year,paper_no,speaker,affiliation,region,role,status,note
SPIE,XIII,2027,,Dan Fu,University of Washington,USA,invited,accepted,recommended by Bjorn Kemper; abstract submitted
SPIE,XIII,2027,,Alon Gorodetsky,UC Irvine,USA,invited,accepted,recommended by YongKeun Park; abstract outstanding; source spells as Alon A. Gorodetsky
SPIE,XIII,2027,,Seung Ah Lee,Seoul National University,Korea,invited,accepted,recommended by YongKeun Park; also Symposium organizer
SPIE,XIII,2027,,Florian Willomitzer,University of Arizona,USA,invited,accepted,recommended by Shwetadwip Chowdhury
SPIE,XIII,2027,,Fei Xia,UC Irvine,USA,invited,accepted,recommended by Aydogan Ozcan
SPIE,XIII,2027,,Shwetadwip Chowdhury,UT Austin,USA,invited,accepted,recommended by Aydogan Ozcan; also programme committee
SPIE,XIII,2027,,Sixian You,MIT EECS,USA,invited,accepted,recommended by George Barbastathis; abstract outstanding
SPIE,XIII,2027,,Iksung Kang,KAIST,Korea,invited,accepted,recommended by George Barbastathis
SPIE,XIII,2027,,Tom Zangle,University of Utah,USA,invited,accepted,recommended by Bjorn Kemper
SPIE,XIII,2027,,Gun-Yeal Lee,Stanford / KAIST,USA,invited,accepted,
SPIE,XIII,2027,,Baptiste Blochet,Universite Paris Cite,France,invited,accepted,
SPIE,XIII,2027,,Deepan Balakrishnan,,unknown,invited,accepted,affiliation missing in source sheet - needs check
SPIE,XIII,2027,,Jinlong Zhu,Huazhong University of Science and Technology,China,invited,accepted,source sheet misspells as Jinlong Zhou; recommended by Renjie Zhou; PW27B-BO506-84
SPIE,XII,2026,,Dan Fu,University of Washington,USA,invited,declined,deferred himself - work at an early stage; accepted for 2027
SPIE,XII,2026,,Duane Loh,National University of Singapore,Singapore,invited,declined,teaching load; maybe the next iteration; source spells as N. Duane Loh
SPIE,XII,2026,,Chiara Paviolo,CEA-Leti,France,invited,declined,not attending PW in person that year
SPIE,XII,2026,,Colin Ophus,Stanford,USA,invited,declined,no reason given; second consecutive decline
SPIE,XI,2025,,Philipp Kukura,University of Oxford,UK,invited,declined,travel load; proposed postdoc Christoph Thiele who was also unavailable
SPIE,XI,2025,,Chao Zuo,Nanjing Univ. of Science and Technology,China,invited,declined,US visa constraints; interested otherwise
SPIE,XI,2025,,James Fienup,University of Rochester,USA,invited,declined,does not usually attend PW
SPIE,XI,2025,,Colin Ophus,Lawrence Berkeley National Laboratory,USA,invited,declined,relocation; travel budget uncertain
SPIE,X,2024,,Ashley Lyons,University of Glasgow,UK,invited,lapsed,accepted then family emergency; remote presentation not permitted
