name,filename,profile_url,image_url,retrieved,rights_status
Nicholas Durr,nicholas-durr.jpg,https://www.bme.jhu.edu/people/faculty/nicholas-durr/,https://www.bme.jhu.edu/wp-content/uploads/2019/10/Nicholas-Durr.jpg,2026-09-24,Public profile; no explicit reuse license verified; organizer requested use
Yuan Luo,yuan-luo.jpg,https://phrtacp.ntu.edu.tw/about/8.htm,https://phrtacp.ntu.edu.tw/upload/images/2026032609103649312.jpg,2026-09-24,Public profile; no explicit reuse license verified; organizer requested use
Kevin Tsia,kevin-tsia.jpg,https://ece.hku.hk/people/tsia/,https://ece.hku.hk/wp-content/uploads/2025/02/19_tsia_2-1.jpg,2026-09-24,Public profile; no explicit reuse license verified; organizer requested use
Kenneth K. Y. Wong,kenneth-wong.png,https://www.lsr.hku.hk/member/kenneth-k-y-wong-professor-department-of-electrical-electronic-engineering/,https://www.lsr.hku.hk/wp-content/uploads/2019/01/K_K-Y_Wong-310x310_c.png,2026-09-24,Public profile; no explicit reuse license verified; organizer requested use
Renjie Zhou,renjie-zhou.jpg,https://research.cuhk.edu.hk/en/persons/renjie-zhou/,https://research.cuhk.edu.hk/files-asset/213895850/bme_zhourenjie.jpg?f=jpg&w=160,2026-09-24,Public profile; no explicit reuse license verified; organizer requested use
Qihang Zhang,qihang-zhang.jpg,https://qhzhang95.github.io/,https://qhzhang95.github.io/images/profile.jpg,2026-09-24,Public profile; no explicit reuse license verified; organizer requested use
